Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",220.726000,-78.613000,90.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",234.823000,-63.754000,90.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",234.315000,-75.438000,90.000000,top
"C4","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",222.123000,-71.120000,270.000000,top
"C5","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",225.044000,-63.246000,270.000000,top
"C6","1µF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",221.107000,-65.278000,0.000000,top
"C7","1µF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",221.107000,-59.182000,0.000000,top
"D5","D1.1","D_SOD-323_HandSoldering",223.599440,-90.368927,90.000000,top
"D6","D2.1","D_SOD-323_HandSoldering",223.599440,-95.956927,90.000000,top
"D7","D3.1","D_SOD-323_HandSoldering",223.599440,-101.544927,90.000000,top
"D9","D1.3","D_SOD-323_HandSoldering",227.663440,-90.368927,90.000000,top
"D10","D2.3","D_SOD-323_HandSoldering",227.663440,-95.956927,90.000000,top
"D11","D3.3","D_SOD-323_HandSoldering",227.663440,-101.544927,90.000000,top
"D12","D4.3","D_SOD-323_HandSoldering",227.663440,-107.132927,90.000000,top
"D14","D1.6","D_SOD-323_HandSoldering",233.759440,-90.368927,90.000000,top
"D15","D2.6","D_SOD-323_HandSoldering",233.759440,-95.956927,90.000000,top
"D16","D3.6","D_SOD-323_HandSoldering",233.759440,-101.544927,90.000000,top
"D17","D4.6","D_SOD-323_HandSoldering",233.759440,-107.132927,90.000000,top
"D19","D1.2","D_SOD-323_HandSoldering",225.631440,-90.368927,90.000000,top
"D20","D2.2","D_SOD-323_HandSoldering",225.631440,-95.956927,90.000000,top
"D21","D3.2","D_SOD-323_HandSoldering",225.631440,-101.544927,90.000000,top
"D23","D1.4","D_SOD-323_HandSoldering",229.695440,-90.368927,90.000000,top
"D24","D2.4","D_SOD-323_HandSoldering",229.695440,-95.956927,90.000000,top
"D25","D3.4","D_SOD-323_HandSoldering",229.695440,-101.544927,90.000000,top
"D26","D4.4","D_SOD-323_HandSoldering",229.695440,-107.132927,90.000000,top
"D33","D1.5","D_SOD-323_HandSoldering",231.727440,-90.368927,90.000000,top
"D34","D2.5","D_SOD-323_HandSoldering",231.727440,-95.956927,90.000000,top
"D35","D3.5","D_SOD-323_HandSoldering",231.727440,-101.544927,90.000000,top
"D36","D4.5","D_SOD-323_HandSoldering",231.727440,-107.132927,90.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",224.790000,-52.070000,0.000000,top
"R1","5.1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",223.130000,-74.422000,180.000000,top
"R6","5.1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",224.155000,-58.674000,270.000000,top
"R7","5.1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",228.727000,-58.674000,270.000000,top
"SW1","BOOT","SW_SPST_CK_RS282G05A3",230.759000,-81.534000,90.000000,top
"SW2","RESET","SW_SPST_CK_RS282G05A3",224.663000,-81.534000,90.000000,top
"U1","STM32","LQFP-48_7x7mm_P0.5mm",229.743000,-69.342000,0.000000,top
"U2","LDO","SOT-23",221.107000,-62.230000,270.000000,top
